timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1662384434048,1,homepage,200,OK,10.128.2.129-Thread Group 1-1,text,true,,37692,398,1,1,http://nginx-sample.nginx:8080/,1,0,0
1662384434050,1,homepage,200,OK,10.128.2.129-Thread Group 1-1,text,true,,37692,398,1,1,http://nginx-sample.nginx:8080/,1,0,1
1662384434052,12,homepage,200,OK,10.128.2.129-Thread Group 1-1,text,true,,37692,398,1,1,http://nginx-sample.nginx:8080/,12,0,0
1662384434066,3,homepage,200,OK,10.128.2.129-Thread Group 1-1,text,true,,37692,398,1,1,http://nginx-sample.nginx:8080/,3,0,0
1662384434070,4,homepage,200,OK,10.128.2.129-Thread Group 1-1,text,true,,37692,398,1,1,http://nginx-sample.nginx:8080/,4,0,0
1662384434075,3,homepage,200,OK,10.128.2.129-Thread Group 1-1,text,true,,37692,398,1,1,http://nginx-sample.nginx:8080/,3,0,0
1662384434079,14,homepage,200,OK,10.128.2.129-Thread Group 1-1,text,true,,37692,398,1,1,http://nginx-sample.nginx:8080/,14,0,0
1662384434094,4,homepage,200,OK,10.128.2.129-Thread Group 1-1,text,true,,37692,398,1,1,http://nginx-sample.nginx:8080/,4,0,1
1662384434099,3,homepage,200,OK,10.128.2.129-Thread Group 1-1,text,true,,37692,398,1,1,http://nginx-sample.nginx:8080/,3,0,0
1662384434103,3,homepage,200,OK,10.128.2.129-Thread Group 1-1,text,true,,37692,398,1,1,http://nginx-sample.nginx:8080/,3,0,0
1662384434107,3,homepage,200,OK,10.128.2.129-Thread Group 1-1,text,true,,37692,398,1,1,http://nginx-sample.nginx:8080/,3,0,0
1662384434111,2,homepage,200,OK,10.128.2.129-Thread Group 1-1,text,true,,37692,398,1,1,http://nginx-sample.nginx:8080/,2,0,0
1662384434114,5,homepage,200,OK,10.128.2.129-Thread Group 1-1,text,true,,37692,398,1,1,http://nginx-sample.nginx:8080/,5,0,1
1662384434120,5,homepage,200,OK,10.128.2.129-Thread Group 1-1,text,true,,37692,398,1,1,http://nginx-sample.nginx:8080/,5,0,0
